network_enp0s3_rx,network_enp0s3_tx,network_enp0s3_cx,mem_active,mem_cached,mem_shared,cpu_system,cpu_softirq,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,%user,%idle,label
70320,70320,140640,2731659264,7699451904,4934733824,49.6,35.7,3377,7524,6180,14.7,0,normal
92464,92040,184504,2731659264,7699456000,4934737920,48.7,35.7,3834,8443,7001,15.1,0.6,normal
58952,58740,117692,2731659264,7699456000,4934737920,48.7,35.7,3834,8443,7001,15.1,0.6,normal
84512,84300,168812,2731626496,7699456000,4934737920,48.1,37.9,3397,7069,5895,14,0,normal
64232,64020,128252,2731626496,7699456000,4934737920,48.1,37.9,3397,7069,5895,14,0,normal
89852,89580,179432,2731626496,7699460096,4934742016,50,34.5,3543,7855,6496,15.2,0.4,normal
58930,58718,117648,2731626496,7699460096,4934742016,50,34.5,3543,7855,6496,15.2,0.4,normal
83344,82980,166324,2731630592,7699460096,4934742016,47.6,37.4,3526,7300,6000,14.8,0.1,normal
65580,65520,131100,2731630592,7699460096,4934742016,47.6,37.4,3526,7300,6000,14.8,0.1,normal
87964,87540,175504,2731630592,7699464192,4934746112,51.4,34.9,3414,7888,6506,13.3,0.4,normal
56400,56400,112800,2731630592,7699464192,4934746112,51.4,34.9,3414,7888,6506,13.3,0.4,normal
84321,82950,167271,2731634688,7699468288,4934750208,45.4,38.3,3931,7308,6132,16.3,0,normal
120101,116274,236375,2731634688,7699468288,4934750208,45.4,38.3,3931,7308,6132,20.1,0,confidentiality
179372,179100,358472,2731659264,7699480576,4934762496,47,37.1,3139,6620,5645,13.1,2.8,normal
132272,132120,264392,2731659264,7699480576,4934762496,47,37.1,3139,6620,5645,13.1,2.8,normal
81332,81060,162392,2731663360,7699480576,4934762496,46.7,38.1,3292,6834,5660,13.7,1.5,normal
59276,59220,118496,2731663360,7699480576,4934762496,46.7,38.1,3292,6834,5660,13.7,1.5,normal
89584,89160,178744,2731663360,7699484672,4934766592,49.9,36,3715,7792,6319,13.8,0.2,normal
61020,60960,121980,2731663360,7699484672,4934766592,49.9,36,3715,7792,6319,13.8,0.2,normal
85084,84720,169804,2731667456,7699484672,4934766592,47.1,39.2,3623,7478,6173,13.3,0.4,normal
65760,65760,131520,2731667456,7699484672,4934766592,47.1,39.2,3623,7478,6173,13.3,0.4,normal
84064,83640,167704,2731667456,7699488768,4934770688,51.7,34.1,3647,7673,6344,13.8,0.4,normal
62050,61778,123828,2731667456,7699488768,4934770688,51.7,34.1,3647,7673,6344,13.8,0.4,normal
84092,83880,167972,2731675648,7699488768,4934770688,46.4,38.8,3552,7510,6080,14.7,0.1,normal
67472,67320,134792,2731675648,7699488768,4934770688,46.4,38.8,3552,7510,6080,14.7,0.1,normal
78780,78780,157560,2731675648,7699488768,4934770688,52.3,32.8,3418,7190,6314,14.7,0.2,normal
66784,66300,133084,2731675648,7699488768,4934770688,52.3,32.8,3418,7190,6314,14.7,0.2,normal
92284,91920,184204,2731679744,7699476480,4934774784,48.9,36.6,4615,7851,7164,14.1,0.4,normal
58860,58800,117660,2731679744,7699476480,4934774784,48.9,36.6,4615,7851,7164,14.1,0.4,normal
77224,76800,154024,2731679744,7699476480,4934774784,51.7,32.8,3162,6532,5835,15.3,0.1,normal
68700,68700,137400,2731679744,7699476480,4934774784,51.7,32.8,3162,6532,5835,15.3,0.1,normal
81484,81120,162604,2731683840,7699480576,4934778880,51.2,34.8,3459,7305,6498,13.9,0.1,normal
66452,66180,132632,2731683840,7699480576,4934778880,51.2,34.8,3459,7305,6498,13.9,0.1,normal
83852,83640,167492,2731683840,7699480576,4934778880,49.4,35.2,3437,7250,6392,15.2,0.1,normal
63092,62880,125972,2731683840,7699480576,4934778880,49.4,35.2,3437,7250,6392,15.2,0.1,normal
79296,79200,158496,2731687936,7699484672,4934782976,51.5,34.3,3235,6832,6148,14.2,0,normal
68008,67680,135688,2731687936,7699484672,4934782976,51.5,34.3,3235,6832,6148,14.2,0,normal
81184,80820,162004,2731687936,7699484672,4934782976,50.3,34.6,3444,7116,6339,14.4,0.6,normal
65438,65378,130816,2731687936,7699484672,4934782976,50.3,34.6,3444,7116,6339,14.4,0.6,normal
79384,78960,158344,2731696128,7699488768,4934791168,52.4,33,3329,6988,6259,14.6,0,normal
69420,69420,138840,2731696128,7699488768,4934791168,52.4,33,3329,6988,6259,14.6,0,normal
83560,83307,166867,2731708416,7699496960,4934799360,47.2,35.4,4285,7218,6489,20.5,0.4,confidentiality
73648,70094,143742,2731708416,7699496960,4934799360,47.2,35.4,4285,7218,6489,17.1,0.4,normal
78480,78480,156960,2731716608,7699505152,4934807552,52.8,32.6,3447,7183,6392,14.6,0,normal
71224,70800,142024,2731716608,7699505152,4934807552,52.8,32.6,3447,7183,6392,14.6,0,normal
81240,81180,162420,2731716608,7699505152,4934807552,48.8,37.4,3607,7308,6497,13.1,0.7,normal
67860,67860,135720,2731716608,7699505152,4934807552,48.8,37.4,3607,7308,6497,13.1,0.7,normal
81480,81540,163020,2731720704,7699509248,4934811648,53.2,32.6,3367,7229,6437,14.2,0,normal
68640,68640,137280,2731720704,7699509248,4934811648,53.2,32.6,3367,7229,6437,14.2,0,normal
84000,83940,167940,2731720704,7699509248,4934811648,47.3,36.4,3825,7444,6648,15.7,0.6,normal
63812,63600,127412,2731720704,7699509248,4934811648,47.3,36.4,3825,7444,6648,15.7,0.6,normal
96600,96660,193260,2731724800,7699513344,4934815744,50.1,34.6,3746,7617,6906,15,0.2,normal
